NumDots,SubdomainLevel,PathLevel,UrlLength,NumDashInHostname,AtSymbol,NumUnderscore,NumPercent,NumAmpersand,NumHash,NumNumericChars,NoHttps,PathLength,IpAddress,TildeSymbol,HostnameLength,DoubleSlashInPath,QueryLength,NumQueryComponents,FrequentDomainNameMismatch,NumSensitiveWords,NumDash,DomainInSubdomains,DomainInPaths,HttpsInHostname,RatioNum2Let,noOfBrackets,NonASCIIChar,RatioSubdomain2Domain,ExeSubdomain,Label
2,2,1,47,0,0,0,0,0,0,0,0,15,0,0,24,0,0,1,1,1,1,0,0,0,0.0,0,0,0.0625,0,0
2,2,3,50,0,0,0,0,0,0,0,0,22,0,0,20,0,0,1,1,1,2,0,0,0,0.0,0,0,0.0833333333333333,0,0
2,2,1,21,0,0,0,0,0,0,0,0,1,0,0,12,0,0,1,1,1,0,0,0,0,0.0,0,0,0.25,0,0
2,2,1,28,0,0,0,0,0,0,0,0,8,0,0,12,0,0,1,1,1,0,0,0,0,0.0,0,0,0.25,0,0
2,2,1,34,1,0,0,0,0,0,0,0,10,0,0,16,0,0,1,1,1,2,0,0,0,0.0,0,0,0.125,0,0
3,2,1,41,0,0,0,0,0,0,0,0,17,0,0,16,0,0,1,0,1,0,0,0,0,0.0,0,0,0.125,0,0
3,3,1,29,1,0,0,0,0,0,0,0,1,0,0,20,0,0,1,1,1,1,0,0,0,0.0,0,0,0.2222222222222222,0,0
2,2,1,49,0,0,0,0,0,0,0,0,15,0,0,26,0,0,1,1,1,1,0,0,0,0.0,0,0,0.0555555555555555,0,0
2,2,1,39,0,0,0,0,0,0,1,0,10,0,0,21,0,0,1,1,1,1,0,0,0,0.032258064516129,0,0,0.0769230769230769,0,0
2,2,1,23,0,0,0,0,0,0,0,0,1,0,0,14,0,0,1,1,1,0,0,0,0,0.0,0,0,0.1666666666666666,0,0
3,2,5,70,0,0,0,0,0,0,0,0,50,0,0,12,0,0,1,1,1,0,0,0,0,0.0,0,0,0.2,0,0
2,2,2,25,0,0,0,0,0,0,0,0,6,0,0,11,0,0,1,1,1,0,0,0,0,0.0,0,0,0.25,0,0
2,2,2,67,1,0,0,0,0,0,0,0,37,0,0,22,0,0,1,1,1,3,0,0,0,0.0,0,0,0.0714285714285714,0,0
1,1,5,43,1,0,0,0,0,0,1,0,22,0,0,13,1,0,1,1,1,2,0,0,0,0.032258064516129,0,0,0.0,0,0
3,2,1,41,0,0,0,0,0,0,0,0,10,0,0,23,0,0,1,1,1,0,0,0,0,0.0,0,0,0.0666666666666666,0,0
3,2,3,69,2,0,0,0,0,0,0,0,35,0,0,26,0,0,1,1,1,3,0,0,0,0.0,0,0,0.0526315789473684,0,0
